hexRes0, 0, hexRes0, 0, <
hexRes0, 1, hexRes0, 1, <
hexRes0, 2, hexRes0, 2, <
hexRes0, 3, hexRes0, 3, <
hexRes0, 4, hexRes0, 4, <
hexRes0, 5, hexRes0, 5, <
hexRes0, 6, hexRes0, 6, <
hexRes0, 7, hexRes0, 7, <
hexRes0, 8, hexRes0, 8, <
hexRes0, 9, hexRes0, 9, <
hexRes0, A, hexRes0, A, <
hexRes0, B, hexRes0, B, <
hexRes0, C, hexRes0, C, <
hexRes0, D, hexRes0, D, <
hexRes0, E, hexRes0, E, <
hexRes0, F, hexRes0, F, <
hexRes1, 0, hexRes1, 0, <
hexRes1, 1, hexRes1, 1, <
hexRes1, 2, hexRes1, 2, <
hexRes1, 3, hexRes1, 3, <
hexRes1, 4, hexRes1, 4, <
hexRes1, 5, hexRes1, 5, <
hexRes1, 6, hexRes1, 6, <
hexRes1, 7, hexRes1, 7, <
hexRes1, 8, hexRes1, 8, <
hexRes1, 9, hexRes1, 9, <
hexRes1, A, hexRes1, A, <
hexRes1, B, hexRes1, B, <
hexRes1, C, hexRes1, C, <
hexRes1, D, hexRes1, D, <
hexRes1, E, hexRes1, E, <
hexRes1, F, hexRes1, F, <
hexRes2, 0, hexRes2, 0, <
hexRes2, 1, hexRes2, 1, <
hexRes2, 2, hexRes2, 2, <
hexRes2, 3, hexRes2, 3, <
hexRes2, 4, hexRes2, 4, <
hexRes2, 5, hexRes2, 5, <
hexRes2, 6, hexRes2, 6, <
hexRes2, 7, hexRes2, 7, <
hexRes2, 8, hexRes2, 8, <
hexRes2, 9, hexRes2, 9, <
hexRes2, A, hexRes2, A, <
hexRes2, B, hexRes2, B, <
hexRes2, C, hexRes2, C, <
hexRes2, D, hexRes2, D, <
hexRes2, E, hexRes2, E, <
hexRes2, F, hexRes2, F, <
hexRes3, 0, hexRes3, 0, <
hexRes3, 1, hexRes3, 1, <
hexRes3, 2, hexRes3, 2, <
hexRes3, 3, hexRes3, 3, <
hexRes3, 4, hexRes3, 4, <
hexRes3, 5, hexRes3, 5, <
hexRes3, 6, hexRes3, 6, <
hexRes3, 7, hexRes3, 7, <
hexRes3, 8, hexRes3, 8, <
hexRes3, 9, hexRes3, 9, <
hexRes3, A, hexRes3, A, <
hexRes3, B, hexRes3, B, <
hexRes3, C, hexRes3, C, <
hexRes3, D, hexRes3, D, <
hexRes3, E, hexRes3, E, <
hexRes3, F, hexRes3, F, <
hexRes4, 0, hexRes4, 0, <
hexRes4, 1, hexRes4, 1, <
hexRes4, 2, hexRes4, 2, <
hexRes4, 3, hexRes4, 3, <
hexRes4, 4, hexRes4, 4, <
hexRes4, 5, hexRes4, 5, <
hexRes4, 6, hexRes4, 6, <
hexRes4, 7, hexRes4, 7, <
hexRes4, 8, hexRes4, 8, <
hexRes4, 9, hexRes4, 9, <
hexRes4, A, hexRes4, A, <
hexRes4, B, hexRes4, B, <
hexRes4, C, hexRes4, C, <
hexRes4, D, hexRes4, D, <
hexRes4, E, hexRes4, E, <
hexRes4, F, hexRes4, F, <
hexRes5, 0, hexRes5, 0, <
hexRes5, 1, hexRes5, 1, <
hexRes5, 2, hexRes5, 2, <
hexRes5, 3, hexRes5, 3, <
